Code,Region_Name
205054601,Melbourne (C) - Inner
205054605,Melbourne (C) - S'bank-D'lands
205054608,Melbourne (C) - Remainder
205055901,Port Phillip (C) - St Kilda
205055902,Port Phillip (C) - West
205056351,Stonnington (C) - Prahran
205057351,Yarra (C) - North
205057352,Yarra (C) - Richmond
205101181,Brimbank (C) - Keilor
205101182,Brimbank (C) - Sunshine
205103111,Hobsons Bay (C) - Altona
205103112,Hobsons Bay (C) - Williamstown
205104330,Maribyrnong (C)
205105063,Moonee Valley (C) - Essendon
205105065,Moonee Valley (C) - West
205204651,Melton (S) - East
205204654,Melton (S) Bal
205207261,Wyndham (C) - North
205207264,Wyndham (C) - South
205207267,Wyndham (C) - West
205255251,Moreland (C) - Brunswick
205255252,Moreland (C) - Coburg
205255253,Moreland (C) - North
205300661,Banyule (C) - Heidelberg
205300662,Banyule (C) - North
205301891,Darebin (C) - Northcote
205301892,Darebin (C) - Preston
205353271,Hume (C) - Broadmeadows
205353274,Hume (C) - Craigieburn
205353275,Hume (C) - Sunbury
205405713,Nillumbik (S) - South
205405715,Nillumbik (S) - South-West
205405718,Nillumbik (S) Bal
205407071,Whittlesea (C) - North
205407075,Whittlesea (C) - South-East
205407076,Whittlesea (C) - South-West
205451111,Boroondara (C) - Camberwell N.
205451112,Boroondara (C) - Camberwell S.
205451113,Boroondara (C) - Hawthorn
205451114,Boroondara (C) - Kew
205504211,Manningham (C) - East
205504214,Manningham (C) - West
205504971,Monash (C) - South-West
205504974,Monash (C) - Waverley East
205504975,Monash (C) - Waverley West
205506981,Whitehorse (C) - Box Hill
205506984,Whitehorse (C) - Nunawading E.
205506985,Whitehorse (C) - Nunawading W.
205553672,Knox (C) - North-East
205553673,Knox (C) - North-West
205553674,Knox (C) - South
205554411,Maroondah (C) - Croydon
205554412,Maroondah (C) - Ringwood
205607451,Yarra Ranges (S) - Central
205607452,Yarra Ranges (S) - Dandenongs
205607453,Yarra Ranges (S) - Lilydale
205607454,Yarra Ranges (S) - North
205607456,Yarra Ranges (S) - Seville
205650911,Bayside (C) - Brighton
205650912,Bayside (C) - South
205652311,Glen Eira (C) - Caulfield
205652314,Glen Eira (C) - South
205653431,Kingston (C) - North
205653434,Kingston (C) - South
205656352,Stonnington (C) - Malvern
205752671,Gr. Dandenong (C) - Dandenong
205752674,Gr. Dandenong (C) Bal
205801452,Cardinia (S) - North
205801453,Cardinia (S) - Pakenham
205801454,Cardinia (S) - South
205801612,Casey (C) - Berwick
205801613,Casey (C) - Cranbourne
205801616,Casey (C) - Hallam
205801618,Casey (C) - South
205852171,Frankston (C) - East
205852174,Frankston (C) - West
205905341,Mornington P'sula (S) - East
205905344,Mornington P'sula (S) - South
205905345,Mornington P'sula (S) - West
220105151,Moorabool (S) - Bacchus Marsh
235204131,Macedon Ranges (S) - Kyneton
235204134,Macedon Ranges (S) - Romsey
235204135,Macedon Ranges (S) Bal
240204854,Mitchell (S) - South
240205621,Murrindindi (S) - East
240205622,Murrindindi (S) - West
255107458,Yarra Ranges (S) - Pt B